([(-46.63392882688913, -122.93369146213931), (-44.72968790960883, -122.87218474003394), (-47.1573733575583, -123.0106929756777), (-46.953228364178244, -122.97751192316555), (0, 0)], (-13.052592904631922, -89.69066493099203), (-47.026712097473194, -123.0747053531412), '2020-05-21 03:20:00')
([(-46.354616383379124, -122.28018889762792), (-43.88509095242205, -122.10850371336957), (-46.69252087077572, -122.32123679524078), (-46.06300776528212, -122.21088766734519), (0, 0)], (-7.550783387635079, -86.8841318693388), (-47.017216465778574, -122.46247141226267), '2020-05-21 03:21:39')
([(-46.421189122097246, -121.67013485696805), (-44.4472127798106, -121.5468552403654), (-47.034778839995596, -121.77042203452861), (-45.013234644529035, -121.40671128069755), (0, 0)], (-2.0267084986938215, -84.16778326708955), (-47.02645968366173, -121.84232144410211), '2020-05-21 03:23:20')
([(52.063083543359554, -124.3286860362682), (50.002739957193036, -124.19309017623156), (53.02336893362116, -124.46358193880441), (52.487903099369426, -124.37765139984033), (0, 0)], (3.505571589305319, -81.46591893652587), (51.1467362120897, -124.1393971563435), '2020-05-21 03:24:59')
([(52.32288973305419, -123.53679584400892), (50.182607133154896, -123.38472873938667), (53.359544917214265, -123.67996944468625), (52.786520083474706, -123.59250368504132), (0, 0)], (9.027034570245036, -78.73718839753991), (51.239634506277454, -123.3304424374315), '2020-05-21 03:26:40')
([(52.61288237742489, -122.71990536898402), (50.377596608217246, -122.54931021377905), (53.727258141129916, -122.87108247413141), (53.108323942101926, -122.77899202650713), (0, 0)], (14.523326155200394, -75.90487302205672), (51.35100356852877, -122.4868219952285), '2020-05-21 03:28:19')
([(52.93390257549853, -121.8790245553015), (50.587524116989634, -121.68669420523533), (54.122208347253355, -122.03592633407216), (53.451470806696825, -121.93757754189721), (0, 0)], (19.97276713855959, -72.91919094202403), (51.479910013429546, -121.62445872122959), '2020-05-21 03:30:00')
([(53.274778315798535, -121.00569101464194), (50.82289258991192, -120.79611709310662), (54.54747826134287, -121.17027564039681), (53.83724059421979, -121.07147093415254), (0, 0)], (25.355424351451518, -69.68623163644511), (51.62814351407049, -120.72347980211396), '2020-05-21 03:31:39')
([(53.6418940296263, -120.10186759263146), (51.08434959820813, -119.87725034819731), (55.01217378365822, -120.27760847564844), (54.245988416929826, -120.17280584367252), (0, 0)], (30.640585421244978, -66.12936795209069), (51.79567458731057, -119.79984417068279), '2020-05-21 03:33:20')
([(54.034647827940645, -119.16292333862657), (51.353858821654754, -118.91970211891599), (55.520749975655704, -119.35510549711373), (54.67738597531996, -119.23763712334453), (0, 0)], (35.79419700611954, -62.11489824183037), (51.98302624452343, -118.83300030904559), '2020-05-21 03:34:59')
([(54.451776165530845, -118.18743084004211), (51.65109277463609, -117.92902861719813), (56.05969756792854, -118.39463309059416), (55.1397341008494, -118.26778620606721), (0, 0)], (40.764715468290596, -57.51227247342212), (52.18568592658849, -117.83714451330742), '2020-05-21 03:36:40')
([(54.90311516289057, -117.17515350579806), (51.966370122676025, -116.8973031775345), (56.67027674928168, -117.41014502654365), (55.64891914030406, -117.263990774403), (53.76154917017218, -117.0847271248764)], (45.487046481114284, -52.11697868021344), (52.41073306274543, -116.7936461160833), '2020-05-21 03:38:19')
([(55.38067118907512, -116.12089620339141), (52.30778781966764, -115.82642072830589), (57.30554614184947, -116.37973972746478), (56.187597589195875, -116.21931205706159), (53.92819633725022, -115.99071446577774)], (49.86529634830796, -45.71808176042299), (52.65733353982445, -115.71748514580811), '2020-05-21 03:40:00')
([(55.892146210367684, -115.02339166488106), (52.66250795009606, -114.70688670967354), (57.989595551929604, -115.30620897046717), (56.76214682352975, -115.12969358104014), (54.12334520644371, -114.85577070752434)], (53.77220860775084, -38.04044776970077), (52.91938238365847, -114.58557227060301), '2020-05-21 03:41:39')
([(56.42862177095762, -113.87789231502188), (53.0436272203084, -113.5418353019544), (58.76007102051, -114.2012756978777), (57.37024113638674, -113.99451096591463), (54.34753384013305, -113.67486496098567)], (57.03389043908194, -28.87526255157194), (53.20172100130121, -113.41432026759058), '2020-05-21 03:43:20')
([(57.00430824356625, -112.68320190746682), (53.43203339449577, -112.32066708718465), (59.59462525791944, -113.0537936760965), (58.031606566546216, -112.81381369919566), (54.585471579938265, -112.43834200934435)], (59.441801941302046, -18.137813692018728), (53.50060768282337, -112.18565478116763), '2020-05-21 03:45:00')
([(57.605117881039874, -111.43231580209489), (53.848234013257034, -111.04557650267053), (60.50768483603385, -111.8620167367323), (58.743748789099044, -111.581206563285), (54.83805968419076, -111.14355773771761)], (60.78203602408087, -6.102739666352871), (53.81963476327819, -110.8970205732991), '2020-05-21 03:46:39')
([(58.24815606193512, -110.1268547396527), (54.273488681472394, -109.70912025573747), (61.671471486928276, -110.68475049195999), (59.49421591878658, -110.29165339628176), (55.11779454167212, -109.79141873035125)], (60.90599336109998, 6.494411304689379), (54.15509107933495, -109.55717734907996), '2020-05-21 03:48:20')
([(58.936650772700915, -108.76306178717427), (54.72610118610183, -108.31028914774369), (61.51032326068071, -110.27418738447992), (60.354506844636745, -108.96306068057008), (55.41809798531618, -108.37485042693856)], (59.799298123956525, 18.708672437454307), (54.507181144843315, -108.14419873559841), '2020-05-21 03:49:59')
